"daily"
Date,Crop,Stage,Kc,Irrig,ETa/ETc,AbBiom,OrgBiom/Leaf,OrgBiom/Fruit,Yield,LAI,Precip,Mois_1,Mois_2,Mois_3,Mois,SOC_1,SOC_2,SOC_3,Tavg,Globrad
[],[],[1-6/7],[],[mm],[],[kgDM ha-1],[kgDM ha-1],[kgDM ha-1],[kgDM ha-1],[m2 m-2],[mm],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[kgC kg-1],[kgC kg-1],[kgC kg-1],[],[]
1991-01-01,,0,0.75,0,0.97,0,0,0,0,0,0,0.232,0.234,0.234,0.233026,0.007887,0.007886,0.007886,-0.6,0.52
1991-01-02,,0,0.75,0,0.97,0,0,0,0,0,0,0.227,0.233,0.233,0.230913,0.007886,0.007886,0.007886,2.8,0.52
1991-01-03,,0,0.75,0,0.96,0,0,0,0,0,0,0.219,0.231,0.233,0.227412,0.007886,0.007886,0.007886,7,1.63
1991-01-04,,0,0.75,0,0.96,0,0,0,0,0,0,0.209,0.229,0.232,0.223253,0.007886,0.007886,0.007886,5.7,0.52
1991-01-05,,0,0.75,0,0.95,0,0,0,0,0,1,0.212,0.227,0.231,0.223424,0.007886,0.007885,0.007885,5.6,0.52
1991-01-06,,0,0.75,0,0.95,0,0,0,0,0,1,0.22,0.226,0.231,0.225658,0.007886,0.007885,0.007885,4,0.52
1991-01-07,,0,0.75,0,0.96,0,0,0,0,0,0,0.213,0.225,0.23,0.222896,0.007885,0.007885,0.007885,4.7,0.69
1991-01-08,,0,0.75,0,0.95,0,0,0,0,0,1,0.217,0.224,0.23,0.223622,0.007885,0.007885,0.007884,3.9,0.75
1991-01-09,,0,0.75,0,0.96,0,0,0,0,0,1,0.219,0.222,0.229,0.223396,0.007885,0.007885,0.007884,5.7,0.52
1991-01-10,,0,0.75,0,0.96,0,0,0,0,0,0,0.217,0.221,0.229,0.222156,0.007885,0.007884,0.007884,-0.1,4.79
1991-01-11,,0,0.75,0,1,0,0,0,0,0,0,0.217,0.221,0.229,0.222156,0.007885,0.007884,0.007884,-3.2,3.77
1991-01-12,,0,0.75,0,0.95,0,0,0,0,0,0,0.212,0.22,0.228,0.220048,0.007885,0.007884,0.007884,1,1.94
1991-01-13,,0,0.75,0,0,0,0,0,0,0,1,0.223,0.22,0.228,0.223653,0.007885,0.007884,0.007884,-1,0.72
1991-01-14,,0,0.75,0,0.96,0,0,0,0,0,0,0.217,0.219,0.228,0.221018,0.007885,0.007884,0.007883,3.6,0.72
1991-01-15,,0,0.75,0,0.95,0,0,0,0,0,0,0.207,0.217,0.227,0.21704,0.007885,0.007884,0.007883,5.7,0.72
1991-01-16,,0,0.75,0,0.96,0,0,0,0,0,1,0.209,0.215,0.226,0.216531,0.007885,0.007884,0.007883,4.6,0.72
1991-01-17,,0,0.75,0,0.95,0,0,0,0,0,0,0.201,0.213,0.225,0.213174,0.007884,0.007884,0.007883,2.8,5.36
1991-01-18,,0,0.75,0,0.8,0,0,0,0,0,3,0.225,0.213,0.225,0.221042,0.007884,0.007884,0.007883,2.8,0.72
1991-01-19,,0,0.75,0,0.96,0,0,0,0,0,12,0.241,0.245,0.245,0.243305,0.007884,0.007883,0.007883,4.4,0.72
1991-01-20,,0,0.75,0,0.97,0,0,0,0,0,0,0.234,0.24,0.241,0.238331,0.007884,0.007883,0.007883,-0.4,1.03
1991-01-21,,0,0.75,0,0.97,0,0,0,0,0,0,0.233,0.238,0.239,0.236826,0.007884,0.007883,0.007883,-6.2,2.6
1991-01-22,,0,0.75,0,0.97,0,0,0,0,0,0,0.232,0.238,0.238,0.235814,0.007884,0.007883,0.007883,-7.5,5.79
1991-01-23,,0,0.75,0,0.91,0,0,0,0,0,0,0.229,0.237,0.237,0.234454,0.007884,0.007883,0.007882,-8.2,3.68
1991-01-24,,0,0.75,0,0.97,0,0,0,0,0,0,0.227,0.237,0.237,0.233537,0.007884,0.007883,0.007882,-6.9,3.54
1991-01-25,,0,0.75,0,0.97,0,0,0,0,0,0,0.226,0.236,0.237,0.232903,0.007884,0.007883,0.007882,-7.5,0.79
1991-01-26,,0,0.75,0,0.97,0,0,0,0,0,0,0.224,0.236,0.236,0.231997,0.007884,0.007883,0.007882,-4.3,0.79
1991-01-27,,0,0.75,0,0.97,0,0,0,0,0,0,0.221,0.235,0.236,0.230829,0.007884,0.007883,0.007882,0,0.79
