"daily"
Date,Crop,Stage,AbBiom,OrgBiom/Leaf,OrgBiom/Fruit,Yield,LAI,Precip,Mois_1,Mois_2,Mois_3,Mois,SOC_1,SOC_2,SOC_3,Tavg,Globrad
[],[],[1-6/7],[kgDM ha-1],[kgDM ha-1],[kgDM ha-1],[kgDM ha-1],[m2 m-2],[mm],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[kgC kg-1],[kgC kg-1],[kgC kg-1],[],[]
1991-01-01,,0,0,0,0,0,0,0,0.232,0.234,0.234,0.233017,0.008,0.008,0.008,-0.6,0.52
1991-01-02,,0,0,0,0,0,0,0,0.227,0.232,0.233,0.230885,0.008,0.008,0.008,2.8,0.52
1991-01-03,,0,0,0,0,0,0,0,0.219,0.231,0.233,0.22733,0.008,0.008,0.008,7,1.63
1991-01-04,,0,0,0,0,0,0,0,0.209,0.229,0.232,0.223108,0.008,0.008,0.008,5.7,0.52
1991-01-05,,0,0,0,0,0,0,1,0.212,0.227,0.231,0.223231,0.008,0.008,0.008,5.6,0.52
1991-01-06,,0,0,0,0,0,0,1,0.219,0.226,0.231,0.225452,0.008,0.008,0.008,4,0.52
1991-01-07,,0,0,0,0,0,0,0,0.213,0.225,0.23,0.222648,0.008,0.008,0.008,4.7,0.69
1991-01-08,,0,0,0,0,0,0,1,0.217,0.224,0.23,0.223317,0.008,0.008,0.008,3.9,0.75
1991-01-09,,0,0,0,0,0,0,1,0.219,0.222,0.229,0.223029,0.008,0.008,0.008,5.7,0.52
1991-01-10,,0,0,0,0,0,0,0,0.216,0.221,0.228,0.221732,0.008,0.008,0.008,-0.1,4.79
1991-01-11,,0,0,0,0,0,0,0,0.216,0.221,0.228,0.221732,0.008,0.008,0.008,-3.2,3.77
1991-01-12,,0,0,0,0,0,0,0,0.211,0.22,0.228,0.219589,0.008,0.008,0.008,1,1.94
1991-01-13,,0,0,0,0,0,0,1,0.222,0.22,0.228,0.223195,0.008,0.008,0.008,-1,0.72
1991-01-14,,0,0,0,0,0,0,0,0.215,0.219,0.227,0.220525,0.008,0.008,0.008,3.6,0.72
1991-01-15,,0,0,0,0,0,0,0,0.206,0.217,0.227,0.216489,0.008,0.008,0.008,5.7,0.72
1991-01-16,,0,0,0,0,0,0,1,0.207,0.215,0.226,0.215923,0.008,0.008,0.008,4.6,0.72
1991-01-17,,0,0,0,0,0,0,0,0.2,0.213,0.225,0.212484,0.008,0.008,0.008,2.8,5.36
1991-01-18,,0,0,0,0,0,0,3,0.224,0.213,0.224,0.220321,0.008,0.008,0.008,2.8,0.72
1991-01-19,,0,0,0,0,0,0,12,0.241,0.244,0.245,0.243223,0.008,0.008,0.008,4.4,0.72
1991-01-20,,0,0,0,0,0,0,0,0.234,0.24,0.241,0.238269,0.008,0.008,0.008,-0.4,1.03
1991-01-21,,0,0,0,0,0,0,0,0.233,0.238,0.239,0.236777,0.008,0.008,0.008,-6.2,2.6
1991-01-22,,0,0,0,0,0,0,0,0.232,0.238,0.238,0.235737,0.008,0.008,0.008,-7.5,5.79
1991-01-23,,0,0,0,0,0,0,0,0.229,0.237,0.237,0.234272,0.008,0.008,0.008,-8.2,3.68
1991-01-24,,0,0,0,0,0,0,0,0.227,0.236,0.237,0.233326,0.008,0.008,0.008,-6.9,3.54
1991-01-25,,0,0,0,0,0,0,0,0.226,0.236,0.236,0.232691,0.008,0.008,0.008,-7.5,0.79
1991-01-26,,0,0,0,0,0,0,0,0.223,0.236,0.236,0.231774,0.008,0.008,0.008,-4.3,0.79
1991-01-27,,0,0,0,0,0,0,0,0.221,0.235,0.236,0.230589,0.008,0.008,0.008,0,0.79
1991-01-28,,0,0,0,0,0,0,0,0.218,0.234,0.236,0.229184,0.008,0.008,0.008,-1.2,0.79
1991-01-29,,0,0,0,0,0,0,0,0.214,0.234,0.235,0.227767,0.008,0.008,0.008,-0.3,0.79
1991-01-30,,0,0,0,0,0,0,0,0.212,0.233,0.235,0.226809,0.008,0.008,0.008,-0.1,2.24
1991-01-31,,0,0,0,0,0,0,0,0.21,0.233,0.235,0.225735,0.008,0.008,0.008,-2.1,0.79
1991-02-01,,0,0,0,0,0,0,0,0.206,0.232,0.235,0.224304,0.008,0.008,0.008,-1.5,0.86
1991-02-02,,0,0,0,0,0,0,1,0.217,0.232,0.235,0.227939,0.008,0.008,0.008,-1.3,0.86
1991-02-03,,0,0,0,0,0,0,6,0.278,0.232,0.235,0.248289,0.008,0.008,0.008,1.2,1.78
1991-02-04,,0,0,0,0,0,0,0,0.271,0.232,0.234,0.245469,0.008,0.008,0.008,1.9,5.14
1991-02-05,,0,0,0,0,0,0,1,0.281,0.232,0.234,0.248851,0.008,0.008,0.008,1.3,0.86
