daily
Date,Crop,Stage,AbBiom,OrgBiom/Leaf,OrgBiom/Fruit,Yield,LAI,Precip,Mois_1,Mois_2,Mois_3,Mois_1,Mois_2,Mois_3,SOC_1,SOC_2,SOC_3,Tavg,Globrad
j:Date,j:Crop,j:Stage,j:AbBiom,"j:[OrgBiom, Leaf]","j:[OrgBiom, Fruit]",j:Yield,j:LAI,j:Precip,"j:[Mois, [1, 3]]","j:[Mois, [1, 3]]","j:[Mois, [1, 3]]","j:[Mois, [1, 3], AVG]","j:[Mois, [1, 3], AVG]","j:[Mois, [1, 3], AVG]","j:[SOC, [1, 3]]","j:[SOC, [1, 3]]","j:[SOC, [1, 3]]",j:Tavg,j:Globrad
1991-01-01,,0,0,0,0,0,0,0,0.232,0.234,0.234,0.232,0.234,0.234,0.008,0.008,0.008,-0.6,0.52
1991-01-02,,0,0,0,0,0,0,0,0.227,0.232,0.233,0.227,0.232,0.233,0.008,0.008,0.008,2.8,0.52
1991-01-03,,0,0,0,0,0,0,0,0.219,0.231,0.233,0.219,0.231,0.233,0.008,0.008,0.008,7,1.63
1991-01-04,,0,0,0,0,0,0,0,0.209,0.229,0.232,0.209,0.229,0.232,0.008,0.008,0.008,5.7,0.52
1991-01-05,,0,0,0,0,0,0,1,0.212,0.227,0.231,0.212,0.227,0.231,0.008,0.008,0.008,5.6,0.52
1991-01-06,,0,0,0,0,0,0,1,0.219,0.226,0.231,0.219,0.226,0.231,0.008,0.008,0.008,4,0.52
1991-01-07,,0,0,0,0,0,0,0,0.213,0.225,0.23,0.213,0.225,0.23,0.008,0.008,0.008,4.7,0.69
1991-01-08,,0,0,0,0,0,0,1,0.217,0.224,0.23,0.217,0.224,0.23,0.008,0.008,0.008,3.9,0.75
1991-01-09,,0,0,0,0,0,0,1,0.219,0.222,0.229,0.219,0.222,0.229,0.008,0.008,0.008,5.7,0.52
1991-01-10,,0,0,0,0,0,0,0,0.216,0.221,0.228,0.216,0.221,0.228,0.008,0.008,0.008,-0.1,4.79
1991-01-11,,0,0,0,0,0,0,0,0.216,0.221,0.228,0.216,0.221,0.228,0.008,0.008,0.008,-3.2,3.77
1991-01-12,,0,0,0,0,0,0,0,0.211,0.22,0.228,0.211,0.22,0.228,0.008,0.008,0.008,1,1.94
1991-01-13,,0,0,0,0,0,0,1,0.222,0.22,0.228,0.222,0.22,0.228,0.008,0.008,0.008,-1,0.72
1991-01-14,,0,0,0,0,0,0,0,0.215,0.219,0.227,0.215,0.219,0.227,0.008,0.008,0.008,3.6,0.72
1991-01-15,,0,0,0,0,0,0,0,0.206,0.217,0.227,0.206,0.217,0.227,0.008,0.008,0.008,5.7,0.72
1991-01-16,,0,0,0,0,0,0,1,0.207,0.215,0.226,0.207,0.215,0.226,0.008,0.008,0.008,4.6,0.72
1991-01-17,,0,0,0,0,0,0,0,0.2,0.213,0.225,0.2,0.213,0.225,0.008,0.008,0.008,2.8,5.36
1991-01-18,,0,0,0,0,0,0,3,0.224,0.213,0.224,0.224,0.213,0.224,0.008,0.008,0.008,2.8,0.72
1991-01-19,,0,0,0,0,0,0,12,0.241,0.244,0.245,0.241,0.244,0.245,0.008,0.008,0.008,4.4,0.72
1991-01-20,,0,0,0,0,0,0,0,0.234,0.24,0.241,0.234,0.24,0.241,0.008,0.008,0.008,-0.4,1.03
1991-01-21,,0,0,0,0,0,0,0,0.234,0.238,0.239,0.234,0.238,0.239,0.008,0.008,0.008,-6.2,2.6
1991-01-22,,0,0,0,0,0,0,0,0.232,0.238,0.238,0.232,0.238,0.238,0.008,0.008,0.008,-7.5,5.79
1991-01-23,,0,0,0,0,0,0,0,0.23,0.237,0.237,0.23,0.237,0.237,0.008,0.008,0.008,-8.2,3.68
1991-01-24,,0,0,0,0,0,0,0,0.228,0.237,0.237,0.228,0.237,0.237,0.008,0.008,0.008,-6.9,3.54
1991-01-25,,0,0,0,0,0,0,0,0.226,0.236,0.237,0.226,0.236,0.237,0.008,0.008,0.008,-7.5,0.79
1991-01-26,,0,0,0,0,0,0,0,0.224,0.236,0.236,0.224,0.236,0.236,0.008,0.008,0.008,-4.3,0.79
1991-01-27,,0,0,0,0,0,0,0,0.222,0.235,0.236,0.222,0.235,0.236,0.008,0.008,0.008,0,0.79
1991-01-28,,0,0,0,0,0,0,0,0.218,0.235,0.236,0.218,0.235,0.236,0.008,0.008,0.008,-1.2,0.79
1991-01-29,,0,0,0,0,0,0,0,0.215,0.234,0.236,0.215,0.234,0.236,0.008,0.008,0.008,-0.3,0.79
1991-01-30,,0,0,0,0,0,0,0,0.213,0.233,0.235,0.213,0.233,0.235,0.008,0.008,0.008,-0.1,2.24
1991-01-31,,0,0,0,0,0,0,0,0.211,0.233,0.235,0.211,0.233,0.235,0.008,0.008,0.008,-2.1,0.79
1991-02-01,,0,0,0,0,0,0,0,0.207,0.232,0.235,0.207,0.232,0.235,0.008,0.008,0.008,-1.5,0.86
1991-02-02,,0,0,0,0,0,0,1,0.218,0.232,0.235,0.218,0.232,0.235,0.008,0.008,0.008,-1.3,0.86
1991-02-03,,0,0,0,0,0,0,6,0.279,0.232,0.235,0.279,0.232,0.235,0.008,0.008,0.008,1.2,1.78
1991-02-04,,0,0,0,0,0,0,0,0.272,0.232,0.234,0.272,0.232,0.234,0.008,0.008,0.008,1.9,5.14
1991-02-05,,0,0,0,0,0,0,1,0.282,0.232,0.234,0.282,0.232,0.234,0.008,0.008,0.008,1.3,0.86
1991-02-06,,0,0,0,0,0,0,1,0.288,0.232,0.234,0.288,0.232,0.234,0.008,0.008,0.008,2.1,0.86
1991-02-07,,0,0,0,0,0,0,0,0.279,0.232,0.233,0.279,0.232,0.233,0.008,0.008,0.008,6.3,2.54
1991-02-08,,0,0,0,0,0,0,0,0.238,0.264,0.233,0.238,0.264,0.233,0.008,0.008,0.0079,3.7,0.86
1991-02-09,,0,0,0,0,0,0,0,0.233,0.264,0.233,0.233,0.264,0.233,0.008,0.008,0.0079,1.9,3.97
1991-02-10,,0,0,0,0,0,0,1,0.234,0.266,0.233,0.234,0.266,0.233,0.008,0.008,0.0079,3.4,2.71
1991-02-11,,0,0,0,0,0,0,4,0.239,0.295,0.233,0.239,0.295,0.233,0.008,0.008,0.0079,2.5,0.92
1991-02-12,,0,0,0,0,0,0,0,0.235,0.296,0.233,0.235,0.296,0.233,0.008,0.008,0.0079,4.4,1.68
1991-02-13,,0,0,0,0,0,0,2,0.236,0.244,0.295,0.236,0.244,0.295,0.008,0.008,0.0079,6.6,0.92
1991-02-14,,0,0,0,0,0,0,3,0.238,0.242,0.317,0.238,0.242,0.317,0.008,0.008,0.0079,2.8,3.4
1991-02-15,,0,0,0,0,0,0,1,0.234,0.24,0.324,0.234,0.24,0.324,0.008,0.008,0.0079,4,0.92
1991-02-16,,0,0,0,0,0,0,2,0.242,0.242,0.334,0.242,0.242,0.334,0.008,0.0079,0.0079,1.4,1.4
1991-02-17,,0,0,0,0,0,0,1,0.242,0.242,0.345,0.242,0.242,0.345,0.008,0.0079,0.0079,-1.8,4.74
1991-02-18,,0,0,0,0,0,0,0,0.239,0.24,0.349,0.239,0.24,0.349,0.008,0.0079,0.0079,-3.1,5.31
1991-02-19,,0,0,0,0,0,0,1,0.241,0.241,0.357,0.241,0.241,0.357,0.008,0.0079,0.0079,-0.7,0.92
1991-02-20,,0,0,0,0,0,0,0,0.239,0.24,0.361,0.239,0.24,0.361,0.008,0.0079,0.0079,-1.2,2.16
1991-02-21,,0,0,0,0,0,0,0,0.233,0.238,0.363,0.233,0.238,0.363,0.008,0.0079,0.0079,1.3,1.64
1991-02-22,,0,0,0,0,0,0,2,0.236,0.24,0.369,0.236,0.24,0.369,0.008,0.0079,0.0079,3.1,2.45
1991-02-23,,0,0,0,0,0,0,0,0.225,0.236,0.37,0.225,0.236,0.37,0.008,0.0079,0.0079,4.8,3.5
1991-02-24,,0,0,0,0,0,0,0,0.218,0.234,0.27,0.218,0.234,0.27,0.008,0.0079,0.0079,3.5,7.34
1991-02-25,,0,0,0,0,0,0,0,0.216,0.234,0.244,0.216,0.234,0.244,0.008,0.0079,0.0079,3.7,1.64
1991-02-26,,0,0,0,0,0,0,0,0.212,0.233,0.239,0.212,0.233,0.239,0.008,0.0079,0.0079,2.5,3.97
1991-02-27,,0,0,0,0,0,0,0,0.206,0.231,0.237,0.206,0.231,0.237,0.0079,0.0079,0.0079,4.3,6.64
1991-02-28,,0,0,0,0,0,0,0,0.203,0.231,0.236,0.203,0.231,0.236,0.0079,0.0079,0.0079,1.1,6.99
1991-03-01,,0,0,0,0,0,0,0,0.194,0.229,0.235,0.194,0.229,0.235,0.0079,0.0079,0.0079,6.8,4.08
1991-03-02,,0,0,0,0,0,0,0,0.184,0.227,0.234,0.184,0.227,0.234,0.0079,0.0079,0.0079,8,13.75
1991-03-03,,0,0,0,0,0,0,1,0.184,0.224,0.233,0.184,0.224,0.233,0.0079,0.0079,0.0079,6.9,8.12
1991-03-04,,0,0,0,0,0,0,0,0.174,0.222,0.232,0.174,0.222,0.232,0.0079,0.0079,0.0079,5.5,2.9
1991-03-05,,0,0,0,0,0,0,0,0.163,0.219,0.231,0.163,0.219,0.231,0.0079,0.0079,0.0079,6.9,12.65
1991-03-06,,0,0,0,0,0,0,0,0.15,0.217,0.23,0.15,0.217,0.23,0.0079,0.0079,0.0079,7.5,21.85
1991-03-07,,0,0,0,0,0,0,1,0.154,0.215,0.229,0.154,0.215,0.229,0.0079,0.0079,0.0079,5,3.45
1991-03-08,,0,0,0,0,0,0,0,0.148,0.214,0.229,0.148,0.214,0.229,0.0079,0.0079,0.0079,6,2.35
1991-03-09,,0,0,0,0,0,0,0,0.138,0.211,0.228,0.138,0.211,0.228,0.0079,0.0079,0.0079,5.7,12.79
1991-03-10,,0,0,0,0,0,0,0,0.127,0.209,0.226,0.127,0.209,0.226,0.0079,0.0079,0.0079,4.5,13.2
1991-03-11,,0,0,0,0,0,0,0,0.118,0.207,0.226,0.118,0.207,0.226,0.0079,0.0079,0.0079,4.7,13.48
1991-03-12,,0,0,0,0,0,0,2,0.129,0.205,0.225,0.129,0.205,0.225,0.0079,0.0079,0.0079,4,7.66
1991-03-13,,0,0,0,0,0,0,14,0.238,0.23,0.225,0.238,0.23,0.225,0.0079,0.0079,0.0079,3.1,3.23
1991-03-14,,0,0,0,0,0,0,3,0.236,0.241,0.236,0.236,0.241,0.236,0.0079,0.0079,0.0079,2.8,3.23
